date,VOO,AMZN,GOOGL,RF
2025-12-18,616.5076294,226.7599945,301.8727722,0.0002
2025-12-19,622.0084839,227.3500061,306.5636597,0.0002
2025-12-22,625.9257202,228.4299927,309.1785583,0.0002
2025-12-23,628.8479614,232.1399994,313.7396851,0.0002
2025-12-24,630.9451904,232.3800049,313.4801941,0.0002
2025-12-26,631.0048828,232.5200043,312.9013367,0.0002
2025-12-29,628.7783203,232.0700073,312.9512329,0.0002
2025-12-30,627.9036255,232.5299988,313.2406616,0.0002
2025-12-31,623.3413696,230.8200073,312.392334,0.0002
2026-01-02,624.5043335,226.5,314.5381165,0.0002
2026-01-05,628.6392212,233.0599976,315.9254456,0.0002
2026-01-06,632.3665771,240.9299927,313.7296753,0.0002
2026-01-07,630.3388062,241.5599976,321.3548889,0.0002
2026-01-08,630.2295532,246.2899933,324.8081665,0.0002
2026-01-09,634.4539185,247.3800049,327.9320984,0.0002
2026-01-12,635.4777222,246.4700012,331.2156982,0.0002
2026-01-13,634.1755981,242.6000061,335.317688,0.0002
2026-01-14,631.104248,236.6499939,335.1879578,0.0002
2026-01-15,632.7741089,238.1799927,332.1339417,0.0002
2026-01-16,632.2473145,239.1199951,329.359314,0.0002
2026-01-20,619.385498,231,321.3748474,0.0002
2026-01-21,626.4822998,231.3099976,327.7424622,0.0002
2026-01-22,629.7424927,234.3399963,329.8982544,0.0002
2026-01-23,630.0009766,239.1600037,327.293335,0.0002
2026-01-26,633.241272,238.4199982,332.6129761,0.0002
2026-01-27,635.8354492,244.6799927,333.9004517,0.0002
2026-01-28,635.7360229,243.0099945,335.3576355,0.0002
2026-01-29,634.4141235,241.7299957,337.5932922,0.0002
2026-01-30,632.3764648,239.3000031,337.3437805,0.0002
2026-02-02,635.8155518,242.9600067,343.0227051,0.0001
2026-02-03,630.3190308,238.6199951,339.0504456,0.0001
2026-02-04,627.0985718,232.9900055,332.3934326,0.0001
2026-02-05,619.3357544,222.6900024,330.6069031,0.0001
2026-02-06,631.4024048,210.3200073,322.2331543,0.0001
2026-02-09,634.3743286,208.7200012,323.6903381,0.0001
2026-02-10,632.5951538,206.9600067,317.9614563,0.0001
2026-02-11,632.5056763,204.0800018,310.3562622,0.0001
2026-02-12,622.7052612,199.6000061,308.4000854,0.0001
2026-02-13,623.1029053,198.7899933,305.1264648,0.0001
2026-02-17,624.196167,201.1499939,301.4336243,0.0001
2026-02-18,627.3371582,204.7899933,302.7410889,0.0001
2026-02-19,625.7269287,204.8600006,302.2620239,0.0001
